time,client_id,temperature,humidity
2019-08-01 10:27:48,node00,28.49,95.00
2019-08-01 10:32:20,node00,28.45,95.00
2019-08-01 10:34:09,node00,27.50,95.00
2019-08-01 10:35:03,node00,28.60,95.00
2019-08-01 10:35:58,node00,26.80,95.00
2019-08-01 10:36:52,node00,28.50,95.00
2019-08-01 10:38:41,node00,27.00,95.00
2019-08-01 10:39:35,node00,28.50,95.00
2019-08-01 10:44:07,node00,28.52,95.00
2019-08-01 10:48:39,node00,28.49,95.00
2019-08-01 10:51:23,node00,26.80,95.00
2019-08-01 10:52:17,node00,28.60,95.00
2019-08-01 10:56:49,node00,28.46,95.00
2019-08-01 10:58:38,node00,29.80,95.00
2019-08-01 10:59:32,node00,28.50,95.00
2019-08-01 11:04:04,node00,28.36,95.00
2019-08-01 11:08:36,node00,26.80,95.00
2019-08-01 11:09:31,node00,28.30,95.00
2019-08-01 11:12:14,node00,28.40,95.00
2019-08-01 11:16:46,node00,28.37,95.00
2019-08-01 11:21:18,node00,28.29,95.00
2019-08-01 11:25:50,node00,28.42,95.00
2019-08-01 11:30:22,node00,28.76,95.00
2019-08-01 11:34:54,node00,28.58,95.00
2019-08-01 11:37:37,node00,26.90,95.00
2019-08-01 11:38:32,node00,28.50,95.00
2019-08-01 11:40:20,node00,26.40,95.00
2019-08-01 11:41:15,node00,28.30,95.00
2019-08-01 11:43:58,node00,27.40,95.00
2019-08-01 11:48:30,node00,28.38,95.00
2019-08-01 11:53:02,node00,28.46,95.00
2019-08-01 11:54:51,node00,26.70,95.00
2019-08-01 11:55:46,node00,28.40,95.00
2019-08-01 11:57:34,node00,26.50,95.00
2019-08-01 11:58:28,node00,28.50,95.00
2019-08-01 12:03:00,node00,28.36,95.00
2019-08-01 12:07:33,node00,28.42,95.00
2019-08-01 12:11:10,node00,26.60,95.00
2019-08-01 12:12:05,node00,28.40,95.00
2019-08-01 12:13:53,node00,30.20,95.00
2019-08-01 12:14:48,node00,28.40,95.00
2019-08-01 12:19:20,node00,28.42,95.00
2019-08-01 12:23:52,node00,28.36,95.00
2019-08-01 12:28:24,node00,28.78,95.00
2019-08-01 12:32:01,node00,26.60,95.00
2019-08-01 12:32:56,node00,28.50,95.00
2019-08-01 12:37:28,node00,28.50,95.00
2019-08-01 12:39:17,node00,26.50,95.00
2019-08-01 12:40:11,node00,28.60,95.00
2019-08-01 12:42:00,node00,27.20,95.00
2019-08-01 12:42:54,node00,28.50,95.00
2019-08-01 12:47:26,node00,28.51,95.00
2019-08-01 12:51:58,node00,28.43,95.00
2019-08-01 12:56:30,node00,28.42,95.00
